rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,date,track_id,rank_tier,popularity,duration_ms,explicit,album_type,total_tracks,duration_min
1,spotify:track:1yGJ40k7HLF3odITZPoQs4,RnBoi,MON BÉBÉ,DOUBLE JEU RECORDS,1,2,101,513110,1,1yGJ40k7HLF3odITZPoQs4,Top 10,76.16396977896632,130500,False,single,1,2.175
2,spotify:track:55vPnuXfuzXNW75JpuSczF,"disiz, Theodora",melodrama,Carré Bleu Production,1,1,129,512532,1,55vPnuXfuzXNW75JpuSczF,Top 10,76.0563301593923,176213,False,album,20,2.9368833333333333
3,spotify:track:35eK52MQkpWLxwyIAGKKXT,Nono La Grinta,LOVE YOU,MPR Records,3,4,112,426362,1,35eK52MQkpWLxwyIAGKKXT,Top 10,60.009087912517664,147692,True,single,1,2.461533333333333
4,spotify:track:0T1CzbjyOEU60cL5G244di,Rambo goyard,B.M.S (by my side),Universal Music Division Capitol Music France,2,3,26,409095,1,0T1CzbjyOEU60cL5G244di,Top 10,56.79349394853038,125454,True,single,1,2.0909
5,spotify:track:2ZxulKXVUpatqUe0quNMtP,"RnBoi, Nono La Grinta",AVEC MOI,DOUBLE JEU RECORDS,4,5,17,360907,1,2ZxulKXVUpatqUe0quNMtP,Top 10,47.819552792763936,182000,True,single,1,3.033333333333333
6,spotify:track:3Bu67MTSsLLJNyZ8qg3itI,"Genezio, Niska",OG,LOSSA RECORDS,5,8,62,313205,1,3Bu67MTSsLLJNyZ8qg3itI,Top 10,38.93611830674312,164986,True,album,14,2.7497666666666665
7,spotify:track:7EyB1sN9IUO1YXIoHTyZRk,"Franglish, KeBlack",Génération impolie,Lutece Music,3,6,108,308153,1,7EyB1sN9IUO1YXIoHTyZRk,Top 10,37.99529588790581,141389,False,album,25,2.3564833333333333
8,spotify:track:0wLCA75tmsos5ZcVzqHFQ1,"GIMS, La Mano 1.9",PARISIENNE,Play Two,1,7,185,233588,1,0wLCA75tmsos5ZcVzqHFQ1,Top 10,24.109226279710306,158859,False,album,18,2.64765
9,spotify:track:4ffqxU54Ll4YRz5NVBe77w,R2,RUINART,Label Blue Sky,1,10,230,220584,1,4ffqxU54Ll4YRz5NVBe77w,Top 10,21.68752106701032,174493,True,album,17,2.9082166666666667
10,spotify:track:3qhlB30KknSejmIvZZLjOD,Djo,End of Beginning,Djo,7,13,157,212582,1,3qhlB30KknSejmIvZZLjOD,Top 10,20.19732688737134,159245,False,album,13,2.6540833333333333
11,spotify:track:4eGoCBOGEAQty5nfWRC0VD,"GIMS, L2B",BLOQUÉ,Play Two,6,9,87,207415,1,4eGoCBOGEAQty5nfWRC0VD,Top 25,19.235088281248544,201103,False,single,1,3.3517166666666665
12,spotify:track:5UpupDvr2w93ccnEmmhS5q,"GIMS, Theodora",SPA,Black Belt,5,11,17,206372,1,5UpupDvr2w93ccnEmmhS5q,Top 25,19.040852773954935,183307,False,single,1,3.0551166666666667
13,spotify:track:1VBKQJ5AVNKROv0WJ2h4ZK,"Ninho, Tiakola",LES DIAMANTS DE BOKASSA,Rec. 118/Jefe Production,3,12,24,192735,1,1VBKQJ5AVNKROv0WJ2h4ZK,Top 25,16.501265417326998,152282,True,album,16,2.5380333333333334
14,spotify:track:55lijDD6OAjLFFUHU9tcDm,RAYE,WHERE IS MY HUSBAND!,Human Re Sources,13,14,136,191007,1,55lijDD6OAjLFFUHU9tcDm,Top 25,16.179463924898087,196795,False,single,1,3.279916666666667
15,spotify:track:5dnM53F6iHQZbyu8k5HUSg,"Soolking, L2B",Tour du monde,Universal Music MENA Distributed Labels,5,15,192,184859,1,5dnM53F6iHQZbyu8k5HUSg,Top 25,15.034535929844296,171489,False,album,15,2.85815
16,spotify:track:5yVEQgC0GuEvvEcv9D8NpG,WIXO & LA2S,GMK,Quality No Stress,16,23,14,184390,1,5yVEQgC0GuEvvEcv9D8NpG,Top 25,14.947195131262605,125179,False,single,1,2.086316666666667
17,spotify:track:53iuhJlwXhSER5J2IYYv1W,Taylor Swift,The Fate of Ophelia,Taylor Swift,2,16,122,179556,1,53iuhJlwXhSER5J2IYYv1W,Top 25,14.046970354409966,226073,False,album,12,3.767883333333333
18,spotify:track:3kql0qldZ3x5qUxwmUgYGa,Nono La Grinta,Paris,MPR Records,1,21,305,169453,1,3kql0qldZ3x5qUxwmUgYGa,Top 25,12.16551174445088,172259,True,album,9,2.870983333333333
19,spotify:track:6QQGjrXpBQjVTdSGaOUyRt,"La Fouine, L2B",Flying Blue,Play Two,14,20,143,162238,1,6QQGjrXpBQjVTdSGaOUyRt,Top 25,10.821878776930856,160000,True,album,19,2.6666666666666665
20,spotify:track:1LmeIVvg4CVTu6kicEVoAr,"Theodora, Jul",ZOU BISOU,Virgin Records FR LAS (S&D),6,18,248,161591,1,1LmeIVvg4CVTu6kicEVoAr,Top 25,10.701389444985539,162041,True,album,25,2.700683333333333
21,spotify:track:29rkopcjI0XyhncrHOdWm0,Ashvma,FOCUS,PDS RECORDS,15,17,44,156844,1,29rkopcjI0XyhncrHOdWm0,Top 25,9.81736647938366,138005,False,single,1,2.3000833333333333
22,spotify:track:4R0HXKZBeDJerIq9oCnDIp,Bouss,Biff pas d'love,Le Grand Carré / Level Up Music,4,28,146,152525,1,4R0HXKZBeDJerIq9oCnDIp,Top 25,9.013048976026907,154455,True,album,43,2.57425
23,spotify:track:74bFjTmlTbZVH9lG3EH7C2,La Rvfleuze,Serrure #5,SERRURE RECORDS,5,63,171,152015,1,74bFjTmlTbZVH9lG3EH7C2,Top 25,8.918072841108652,138591,True,single,1,2.30985
24,spotify:track:1rIKgCH4H52lrvDcz50hS8,Zara Larsson,Lush Life,Epic/Record Company TEN,24,31,196,148758,1,1rIKgCH4H52lrvDcz50hS8,Top 25,8.3115291716405,200646,False,album,15,3.3441
25,spotify:track:0MsHYntRES1QW1VtuhfdUk,Timar,SIERRA LEONE,Universal Music Division Virgin Records,12,26,72,143192,1,0MsHYntRES1QW1VtuhfdUk,Top 25,7.274985707022834,172258,True,album,15,2.8709666666666664
26,spotify:track:1CPZ5BxNNd0n0nF4Orb9JS,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,K-Pop Demon Hunters,6,22,222,141898,1,1CPZ5BxNNd0n0nF4Orb9JS,Top 50,7.034007043132201,194607,False,album,12,3.24345
27,spotify:track:3ReDT1HLea9eTWEPtwE7fP,"GP Explorer, Anyme023",Toute la nuit,Maison Baron Rouge,4,37,122,139340,1,3ReDT1HLea9eTWEPtwE7fP,Top 50,6.557636546816717,198693,True,album,15,3.31155
28,spotify:track:3oTuTpF1F3A7rEC6RKsMRz,"Dave, Tems",Raindance (feat. Tems),Neighbourhood,20,30,38,137589,1,3oTuTpF1F3A7rEC6RKsMRz,Top 50,6.231551816930707,219743,False,album,10,3.6623833333333335
29,spotify:track:2hndzMd89P8nEG4jTRurPk,RnBoi,BTRD,DOUBLE JEU RECORDS,7,19,216,136485,1,2hndzMd89P8nEG4jTRurPk,Top 50,6.025956418990012,140487,False,single,1,2.34145
30,spotify:track:3vJIaiTIHxHhYafTSPNiH4,"Disney, Shakira",Zoo,Walt Disney Records,25,25,45,132836,1,3vJIaiTIHxHhYafTSPNiH4,Top 50,5.346411485035672,190822,False,album,24,3.1803666666666666
31,spotify:track:5kfAx6phDHPpz5g8IAPyc2,Werenoi,Chemin d'or,PLR Music / PGP Records / Allpoints,4,46,1040,126604,1,5kfAx6phDHPpz5g8IAPyc2,Top 50,4.185840361877697,212093,True,album,18,3.534883333333333
32,spotify:track:3zs1RJzrhgt0JsNsPopubX,"Le Crime, Leto",Ballon D'or,Play Two,16,35,75,126155,1,3zs1RJzrhgt0JsNsPopubX,Top 50,4.102224117606527,206250,True,album,20,3.4375
33,spotify:track:3XHcbhTEqJ21TTkQFUe6bG,"GP Explorer, GIMS, La Mano 1.9, SCH",Un monde à l'autre,Maison Baron Rouge,1,42,144,125981,1,3XHcbhTEqJ21TTkQFUe6bG,Top 50,4.069820495105005,155965,True,album,15,2.5994166666666665
34,spotify:track:7xWvRVssTTECvWCDNgCzSH,"Bleu Soleil, LUIZA",Soleil Bleu,Wagram Music / Chapter Two Records,2,27,230,125566,1,7xWvRVssTTECvWCDNgCzSH,Top 50,3.992535993161718,246000,False,single,1,4.1
35,spotify:track:1xOqGUkyxGQRdCvGpvWKmL,KATSEYE,Gabriela,HYBE/Geffen,21,33,128,125442,1,1xOqGUkyxGQRdCvGpvWKmL,Top 50,3.9694437564364957,197226,False,single,2,3.2871
36,spotify:track:6wggq2ikhLMnS0o1deK2Xz,Theodora,FASHION DESIGNA,Maison Neptune X NBFD,10,29,293,124716,1,6wggq2ikhLMnS0o1deK2Xz,Top 50,3.8342424349646262,184988,True,album,13,3.083133333333333
37,spotify:track:68oBz6xab6ATAobLCbtZXX,Ronisia,Solide,Epic,27,36,71,124125,1,68oBz6xab6ATAobLCbtZXX,Top 50,3.7241818550887658,212400,False,single,5,3.54
38,spotify:track:3MNBUdX7zP4E0UhlfYenMf,Werenoi,Jamal,PGP Records,20,24,202,123030,1,3MNBUdX7zP4E0UhlfYenMf,Top 50,3.5202625065878053,199826,True,album,14,3.330433333333333
39,spotify:track:6OuhnnHBGG1tKWCpi8nOlM,"RK, Genezio",VIANO,Hyper Focal Music / Family and Co Productions,2,39,197,121767,1,6OuhnnHBGG1tKWCpi8nOlM,Top 50,3.285056901878479,111764,False,album,12,1.8627333333333331
40,spotify:track:12bYYQaLqHliSXvRIYlq8G,Bruno Mars,I Just Might,Atlantic Records,23,32,24,115495,1,12bYYQaLqHliSXvRIYlq8G,Top 50,2.1170366700994645,212973,False,single,1,3.54955
41,spotify:track:1k2MSLuxyPxJbM47VrVVIq,"Leto, iDS, L2B",MATHÉMATIQUE,Winterfell music,41,80,87,114997,1,1k2MSLuxyPxJbM47VrVVIq,Top 50,2.024295267767521,153230,True,album,9,2.5538333333333334
42,spotify:track:7l3b0X95GdYfRuW8Kq5ixC,Bilouki,Tchébé 2x,MK9,40,40,44,112249,1,7l3b0X95GdYfRuW8Kq5ixC,Top 50,1.5125415055020979,150476,True,album,8,2.5079333333333333
43,spotify:track:3rIX5DA9rUk89KUOZdGFaN,Werenoi,Tu connais,AllPoints,7,44,847,112240,1,3rIX5DA9rUk89KUOZdGFaN,Top 50,1.5108654560623638,169000,True,album,7,2.816666666666667
44,spotify:track:3Byu179ofnuChb4zF1fMhu,Werenoi,Pétunias,AllPoints,2,57,486,111670,1,3Byu179ofnuChb4zF1fMhu,Top 50,1.4047156582125493,210247,True,album,18,3.5041166666666665
45,spotify:track:3SBBYSbzkLvx96bKzneYsF,"KeBlack, Guy2Bezbar",Melrose Place,Motema records,1,47,304,110124,1,3SBBYSbzkLvx96bKzneYsF,Top 50,1.1168076100093671,156676,True,album,21,2.611266666666667
46,spotify:track:4WFgvKVfEhb3IUAFGrutTR,Ravyn Lenae,Love Me Not,Atlantic Records,31,56,263,109216,1,4WFgvKVfEhb3IUAFGrutTR,Top 50,0.9477128443117676,213466,False,album,11,3.5577666666666667
47,spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ,Alex Warren,Ordinary,Atlantic Records,10,53,325,108018,1,2RkZ5LkEzeHGRsmDqKwmaJ,Top 50,0.7246120411116305,186964,False,album,11,3.1160666666666668
48,spotify:track:2RoNSwUsNMelk14j7HJ4dG,Gazo,QUE DES FAITS,BSB PROD,19,34,10,107965,1,2RoNSwUsNMelk14j7HJ4dG,Top 50,0.7147419721887529,164000,True,single,1,2.7333333333333334
49,spotify:track:1Mzg6bu3hkCwJKEf7v49MN,SDM,CARTIER SANTOS,Universal Music Division Capitol Music France,1,43,493,106995,1,1Mzg6bu3hkCwJKEf7v49MN,Top 50,0.5341010881285418,183813,True,album,14,3.06355
50,spotify:track:1RiCNSkK4AfT1j8ZM4JnVs,GIMS,CIEL,Play Two,1,45,462,106623,1,1RiCNSkK4AfT1j8ZM4JnVs,Top 50,0.46482437795287324,186461,False,album,9,3.107683333333333
1,spotify:track:55vPnuXfuzXNW75JpuSczF,"disiz, Theodora",melodrama,Carré Bleu Production,1,2,130,506610,2,55vPnuXfuzXNW75JpuSczF,Top 10,74.9534896280474,176213,False,album,20,2.9368833333333333
2,spotify:track:1yGJ40k7HLF3odITZPoQs4,RnBoi,MON BÉBÉ,DOUBLE JEU RECORDS,1,1,102,495109,2,1yGJ40k7HLF3odITZPoQs4,Top 10,72.81168467178296,130500,False,single,1,2.175
3,spotify:track:35eK52MQkpWLxwyIAGKKXT,Nono La Grinta,LOVE YOU,MPR Records,3,3,113,445753,2,35eK52MQkpWLxwyIAGKKXT,Top 10,63.62022954428216,147692,True,single,1,2.461533333333333
4,spotify:track:0T1CzbjyOEU60cL5G244di,Rambo goyard,B.M.S (by my side),Universal Music Division Capitol Music France,2,4,27,423582,2,0T1CzbjyOEU60cL5G244di,Top 10,59.49137486335542,125454,True,single,1,2.0909
5,spotify:track:2ZxulKXVUpatqUe0quNMtP,"RnBoi, Nono La Grinta",AVEC MOI,DOUBLE JEU RECORDS,4,5,18,397760,2,2ZxulKXVUpatqUe0quNMtP,Top 10,54.68260279304328,182000,True,single,1,3.033333333333333
6,spotify:track:3Bu67MTSsLLJNyZ8qg3itI,"Genezio, Niska",OG,LOSSA RECORDS,5,6,63,331644,2,3Bu67MTSsLLJNyZ8qg3itI,Top 10,42.369971153326865,164986,True,album,14,2.7497666666666665
7,spotify:track:7EyB1sN9IUO1YXIoHTyZRk,"Franglish, KeBlack",Génération impolie,Lutece Music,3,7,109,299806,2,7EyB1sN9IUO1YXIoHTyZRk,Top 10,36.44085314641037,141389,False,album,25,2.3564833333333333
8,spotify:track:4ffqxU54Ll4YRz5NVBe77w,R2,RUINART,Label Blue Sky,1,9,231,258020,2,4ffqxU54Ll4YRz5NVBe77w,Top 10,28.659141825441314,174493,True,album,17,2.9082166666666667
9,spotify:track:3qhlB30KknSejmIvZZLjOD,Djo,End of Beginning,Djo,7,10,158,234009,2,3qhlB30KknSejmIvZZLjOD,Top 10,24.187628147946747,159245,False,album,13,2.6540833333333333
10,spotify:track:0wLCA75tmsos5ZcVzqHFQ1,"GIMS, La Mano 1.9",PARISIENNE,Play Two,1,8,186,216171,2,0wLCA75tmsos5ZcVzqHFQ1,Top 10,20.86569815839412,158859,False,album,18,2.64765
11,spotify:track:4eGoCBOGEAQty5nfWRC0VD,"GIMS, L2B",BLOQUÉ,Play Two,6,11,88,215894,2,4eGoCBOGEAQty5nfWRC0VD,Top 25,20.814113081193423,201103,False,single,1,3.3517166666666665
12,spotify:track:55lijDD6OAjLFFUHU9tcDm,RAYE,WHERE IS MY HUSBAND!,Human Re Sources,12,14,137,214172,2,55lijDD6OAjLFFUHU9tcDm,Top 25,20.493428955057666,196795,False,single,1,3.279916666666667
13,spotify:track:1VBKQJ5AVNKROv0WJ2h4ZK,"Ninho, Tiakola",LES DIAMANTS DE BOKASSA,Rec. 118/Jefe Production,3,13,25,211514,2,1VBKQJ5AVNKROv0WJ2h4ZK,Top 25,19.99843568718958,152282,True,album,16,2.5380333333333334
14,spotify:track:5UpupDvr2w93ccnEmmhS5q,"GIMS, Theodora",SPA,Black Belt,5,12,18,210951,2,5UpupDvr2w93ccnEmmhS5q,Top 25,19.893589483348446,183307,False,single,1,3.0551166666666667
15,spotify:track:5yVEQgC0GuEvvEcv9D8NpG,WIXO & LA2S,GMK,Quality No Stress,15,16,15,194698,2,5yVEQgC0GuEvvEcv9D8NpG,Top 25,16.86683042290452,125179,False,single,1,2.086316666666667
16,spotify:track:53iuhJlwXhSER5J2IYYv1W,Taylor Swift,The Fate of Ophelia,Taylor Swift,2,17,123,188157,2,53iuhJlwXhSER5J2IYYv1W,Top 25,15.648714935649014,226073,False,album,12,3.767883333333333
17,spotify:track:5dnM53F6iHQZbyu8k5HUSg,"Soolking, L2B",Tour du monde,Universal Music MENA Distributed Labels,5,15,193,176874,2,5dnM53F6iHQZbyu8k5HUSg,Top 25,13.54750762136926,171489,False,album,15,2.85815
18,spotify:track:29rkopcjI0XyhncrHOdWm0,Ashvma,FOCUS,PDS RECORDS,15,21,45,169508,2,29rkopcjI0XyhncrHOdWm0,Top 25,12.175754268804809,138005,False,single,1,2.3000833333333333
19,spotify:track:6QQGjrXpBQjVTdSGaOUyRt,"La Fouine, L2B",Flying Blue,Play Two,14,19,144,168367,2,6QQGjrXpBQjVTdSGaOUyRt,Top 25,11.963268445389653,160000,True,album,19,2.6666666666666665
20,spotify:track:3kql0qldZ3x5qUxwmUgYGa,Nono La Grinta,Paris,MPR Records,1,18,306,168278,2,3kql0qldZ3x5qUxwmUgYGa,Top 25,11.94669417870784,172259,True,album,9,2.870983333333333
21,spotify:track:1rIKgCH4H52lrvDcz50hS8,Zara Larsson,Lush Life,Epic/Record Company TEN,21,24,197,157184,2,1rIKgCH4H52lrvDcz50hS8,Top 25,9.880683902662497,200646,False,album,15,3.3441
22,spotify:track:4R0HXKZBeDJerIq9oCnDIp,Bouss,Biff pas d'love,Le Grand Carré / Level Up Music,4,22,147,155833,2,4R0HXKZBeDJerIq9oCnDIp,Top 25,9.629090258986885,154455,True,album,43,2.57425
23,spotify:track:3oTuTpF1F3A7rEC6RKsMRz,"Dave, Tems",Raindance (feat. Tems),Neighbourhood,20,28,39,153326,2,3oTuTpF1F3A7rEC6RKsMRz,Top 25,9.162217376163225,219743,False,album,10,3.6623833333333335
24,spotify:track:1LmeIVvg4CVTu6kicEVoAr,"Theodora, Jul",ZOU BISOU,Virgin Records FR LAS (S&D),6,20,249,147147,2,1LmeIVvg4CVTu6kicEVoAr,Top 25,8.011516321928127,162041,True,album,25,2.700683333333333
25,spotify:track:2hndzMd89P8nEG4jTRurPk,RnBoi,BTRD,DOUBLE JEU RECORDS,7,29,217,138313,2,2hndzMd89P8nEG4jTRurPk,Top 25,6.366380682971524,140487,False,single,1,2.34145
26,spotify:track:0MsHYntRES1QW1VtuhfdUk,Timar,SIERRA LEONE,Universal Music Division Virgin Records,12,25,73,136479,2,0MsHYntRES1QW1VtuhfdUk,Top 50,6.024839052696857,172258,True,album,15,2.8709666666666664
27,spotify:track:1CPZ5BxNNd0n0nF4Orb9JS,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,K-Pop Demon Hunters,6,26,223,135494,2,1CPZ5BxNNd0n0nF4Orb9JS,Top 50,5.841404752903755,194607,False,album,12,3.24345
28,spotify:track:2RoNSwUsNMelk14j7HJ4dG,Gazo,QUE DES FAITS,BSB PROD,19,48,11,135155,2,2RoNSwUsNMelk14j7HJ4dG,Top 50,5.778273557340445,164000,True,single,1,2.7333333333333334
29,spotify:track:68oBz6xab6ATAobLCbtZXX,Ronisia,Solide,Epic,27,37,72,132869,2,68oBz6xab6ATAobLCbtZXX,Top 50,5.35255699964803,212400,False,single,5,3.54
30,spotify:track:3MNBUdX7zP4E0UhlfYenMf,Werenoi,Jamal,PGP Records,20,38,203,132815,2,3MNBUdX7zP4E0UhlfYenMf,Top 50,5.342500703009626,199826,True,album,14,3.330433333333333
31,spotify:track:74bFjTmlTbZVH9lG3EH7C2,La Rvfleuze,Serrure #5,SERRURE RECORDS,5,23,172,131691,2,74bFjTmlTbZVH9lG3EH7C2,Top 50,5.133180750758412,138591,True,single,1,2.30985
32,spotify:track:3zs1RJzrhgt0JsNsPopubX,"Le Crime, Leto",Ballon D'or,Play Two,16,32,76,130826,2,3zs1RJzrhgt0JsNsPopubX,Top 50,4.97209377682843,206250,True,album,20,3.4375
33,spotify:track:12bYYQaLqHliSXvRIYlq8G,Bruno Mars,I Just Might,Atlantic Records,23,40,25,129510,2,12bYYQaLqHliSXvRIYlq8G,Top 50,4.727018103196226,212973,False,single,1,3.54955
34,spotify:track:1xOqGUkyxGQRdCvGpvWKmL,KATSEYE,Gabriela,HYBE/Geffen,21,35,129,129472,2,1xOqGUkyxGQRdCvGpvWKmL,Top 50,4.719941450006239,197226,False,single,2,3.2871
35,spotify:track:3ReDT1HLea9eTWEPtwE7fP,"GP Explorer, Anyme023",Toute la nuit,Maison Baron Rouge,4,27,123,126177,2,3ReDT1HLea9eTWEPtwE7fP,Top 50,4.106321127348099,198693,True,album,15,3.31155
36,spotify:track:6OuhnnHBGG1tKWCpi8nOlM,"RK, Genezio",VIANO,Hyper Focal Music / Family and Co Productions,2,39,198,125580,2,6OuhnnHBGG1tKWCpi8nOlM,Top 50,3.9951431811790825,111764,False,album,12,1.8627333333333331
37,spotify:track:7xWvRVssTTECvWCDNgCzSH,"Bleu Soleil, LUIZA",Soleil Bleu,Wagram Music / Chapter Two Records,2,34,231,124204,2,7xWvRVssTTECvWCDNgCzSH,Top 50,3.7388938446153186,246000,False,single,1,4.1
38,spotify:track:66ku4Gq4k5xUqdVL4Oam2r,Werenoi,Poney,PLR Music / PGP Records,4,58,298,121016,2,66ku4Gq4k5xUqdVL4Oam2r,Top 50,3.14519988751846,230000,True,album,17,3.8333333333333335
39,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,1,170,381,119762,2,3sK8wGT43QFpWrvNQsrQya,Top 50,2.911670332248867,237117,True,album,17,3.95195
40,spotify:track:4WFgvKVfEhb3IUAFGrutTR,Ravyn Lenae,Love Me Not,Atlantic Records,31,46,264,119594,2,4WFgvKVfEhb3IUAFGrutTR,Top 50,2.880384076040501,213466,False,album,11,3.5577666666666667
41,spotify:track:5kfAx6phDHPpz5g8IAPyc2,Werenoi,Chemin d'or,PLR Music / PGP Records / Allpoints,4,31,1041,119404,2,5kfAx6phDHPpz5g8IAPyc2,Top 50,2.845000810090563,212093,True,album,18,3.534883333333333
42,spotify:track:65lCFhOz5RyYH52JryAf10,"Meryl, Eva",Coco Chanel,Maison Caviar,19,51,67,119182,2,65lCFhOz5RyYH52JryAf10,Top 50,2.8036582572437925,130800,True,album,17,2.18
43,spotify:track:1Mzg6bu3hkCwJKEf7v49MN,SDM,CARTIER SANTOS,Universal Music Division Capitol Music France,1,49,494,117773,2,1Mzg6bu3hkCwJKEf7v49MN,Top 50,2.5412634060676713,183813,True,album,14,3.06355
44,spotify:track:3XHcbhTEqJ21TTkQFUe6bG,"GP Explorer, GIMS, La Mano 1.9, SCH",Un monde à l'autre,Maison Baron Rouge,1,33,145,117717,2,3XHcbhTEqJ21TTkQFUe6bG,Top 50,2.530834653998216,155965,True,album,15,2.5994166666666665
45,spotify:track:1qbmS6ep2hbBRaEZFpn7BX,Olivia Dean,Man I Need,PLG - Capitol,45,70,138,117045,2,1qbmS6ep2hbBRaEZFpn7BX,Top 50,2.40568962916475,184000,False,single,3,3.066666666666667
46,spotify:track:3Byu179ofnuChb4zF1fMhu,Werenoi,Pétunias,AllPoints,2,44,487,114320,2,3Byu179ofnuChb4zF1fMhu,Top 50,1.898219104356425,210247,True,album,18,3.5041166666666665
47,spotify:track:7l3b0X95GdYfRuW8Kq5ixC,Bilouki,Tchébé 2x,MK9,40,42,45,114279,2,7l3b0X95GdYfRuW8Kq5ixC,Top 50,1.8905837680198594,150476,True,album,8,2.5079333333333333
48,spotify:track:3rIX5DA9rUk89KUOZdGFaN,Werenoi,Tu connais,AllPoints,7,43,848,114205,2,3rIX5DA9rUk89KUOZdGFaN,Top 50,1.876802917070936,169000,True,album,7,2.816666666666667
49,spotify:track:3vJIaiTIHxHhYafTSPNiH4,"Disney, Shakira",Zoo,Walt Disney Records,25,30,46,113871,2,3vJIaiTIHxHhYafTSPNiH4,Top 50,1.814602860085255,190822,False,album,24,3.1803666666666666
50,spotify:track:6wggq2ikhLMnS0o1deK2Xz,Theodora,FASHION DESIGNA,Maison Neptune X NBFD,10,36,294,113482,2,6wggq2ikhLMnS0o1deK2Xz,Top 50,1.7421602787456445,184988,True,album,13,3.083133333333333
1,spotify:track:55vPnuXfuzXNW75JpuSczF,"disiz, Theodora",melodrama,Carré Bleu Production,1,1,131,499255,3,55vPnuXfuzXNW75JpuSczF,Top 10,73.58378478035372,176213,False,album,20,2.9368833333333333
2,spotify:track:1yGJ40k7HLF3odITZPoQs4,RnBoi,MON BÉBÉ,DOUBLE JEU RECORDS,1,2,103,458292,3,1yGJ40k7HLF3odITZPoQs4,Top 10,65.95533886926256,130500,False,single,1,2.175
3,spotify:track:35eK52MQkpWLxwyIAGKKXT,Nono La Grinta,LOVE YOU,MPR Records,3,3,114,420056,3,35eK52MQkpWLxwyIAGKKXT,Top 10,58.834735938410766,147692,True,single,1,2.461533333333333
4,spotify:track:0T1CzbjyOEU60cL5G244di,Rambo goyard,B.M.S (by my side),Universal Music Division Capitol Music France,2,4,28,406611,3,0T1CzbjyOEU60cL5G244di,Top 10,56.33090430316382,125454,True,single,1,2.0909
5,spotify:track:2ZxulKXVUpatqUe0quNMtP,"RnBoi, Nono La Grinta",AVEC MOI,DOUBLE JEU RECORDS,4,5,19,381854,3,2ZxulKXVUpatqUe0quNMtP,Top 10,51.720464749886865,182000,True,single,1,3.033333333333333
6,spotify:track:7EyB1sN9IUO1YXIoHTyZRk,"Franglish, KeBlack",Génération impolie,Lutece Music,3,7,110,290830,3,7EyB1sN9IUO1YXIoHTyZRk,Top 10,34.76927317184907,141389,False,album,25,2.3564833333333333
7,spotify:track:3Bu67MTSsLLJNyZ8qg3itI,"Genezio, Niska",OG,LOSSA RECORDS,5,6,64,273674,3,3Bu67MTSsLLJNyZ8qg3itI,Top 10,31.574350484285173,164986,True,album,14,2.7497666666666665
8,spotify:track:4ffqxU54Ll4YRz5NVBe77w,R2,RUINART,Label Blue Sky,1,8,232,238363,3,4ffqxU54Ll4YRz5NVBe77w,Top 10,24.99846362134691,174493,True,album,17,2.9082166666666667
9,spotify:track:4eGoCBOGEAQty5nfWRC0VD,"GIMS, L2B",BLOQUÉ,Play Two,6,11,89,230629,3,4eGoCBOGEAQty5nfWRC0VD,Top 10,23.558178469468896,201103,False,single,1,3.3517166666666665
10,spotify:track:0wLCA75tmsos5ZcVzqHFQ1,"GIMS, La Mano 1.9",PARISIENNE,Play Two,1,10,187,224863,3,0wLCA75tmsos5ZcVzqHFQ1,Top 10,22.484389461746034,158859,False,album,18,2.64765
11,spotify:track:3qhlB30KknSejmIvZZLjOD,Djo,End of Beginning,Djo,7,9,159,217664,3,3qhlB30KknSejmIvZZLjOD,Top 25,21.143736137674427,159245,False,album,13,2.6540833333333333
12,spotify:track:1VBKQJ5AVNKROv0WJ2h4ZK,"Ninho, Tiakola",LES DIAMANTS DE BOKASSA,Rec. 118/Jefe Production,3,13,26,209278,3,1VBKQJ5AVNKROv0WJ2h4ZK,Top 25,19.582030515273466,152282,True,album,16,2.5380333333333334
13,spotify:track:5UpupDvr2w93ccnEmmhS5q,"GIMS, Theodora",SPA,Black Belt,5,14,19,206330,3,5UpupDvr2w93ccnEmmhS5q,Top 25,19.033031209902845,183307,False,single,1,3.0551166666666667
14,spotify:track:55lijDD6OAjLFFUHU9tcDm,RAYE,WHERE IS MY HUSBAND!,Human Re Sources,12,12,138,199594,3,55lijDD6OAjLFFUHU9tcDm,Top 25,17.778601318119772,196795,False,single,1,3.279916666666667
15,spotify:track:5yVEQgC0GuEvvEcv9D8NpG,WIXO & LA2S,GMK,Quality No Stress,15,15,16,195879,3,5yVEQgC0GuEvvEcv9D8NpG,Top 25,17.086765354940713,125179,False,single,1,2.086316666666667
16,spotify:track:53iuhJlwXhSER5J2IYYv1W,Taylor Swift,The Fate of Ophelia,Taylor Swift,2,16,124,189767,3,53iuhJlwXhSER5J2IYYv1W,Top 25,15.948541557645859,226073,False,album,12,3.767883333333333
